Epsilon,Pct_Inflation,Success
0.05,14.782831906169157,True
0.1,28.11576842080563,True
0.2,60.210397851760945,True
0.3,112.4362216488065,True
0.5,183.56801439078265,True
1.0,330.11506692929197,True
0.05,13.922388876732139,True
0.1,29.27297752124245,True
0.2,57.46524691564818,True
0.3,72.42379553646587,True
0.5,99.06995806749828,True
1.0,168.12948824956217,True
0.05,6.396851166672235,False
0.1,9.739881884387502,False
0.2,15.314543485624954,True
0.3,20.833290093596446,True
0.5,31.172863029777552,True
1.0,52.883755986584525,True
0.05,8.16228690111771,False
0.1,15.551985290149473,True
0.2,31.533185450060408,True
0.3,42.03684204183708,True
0.5,58.00870707742145,True
1.0,99.91190576781442,True
0.05,9.126750044809961,False
0.1,18.398728143396692,True
0.2,31.27589872406782,True
0.3,38.90278257671771,True
0.5,53.60982148687066,True
1.0,89.87146296199849,True
0.05,10.493746440933904,True
0.1,20.915178523822007,True
0.2,43.72227394198429,True
0.3,56.02868473979095,True
0.5,77.98892237343588,True
1.0,137.86910314733416,True
0.05,8.219882573814562,False
0.1,16.31489010119771,True
0.2,34.10118647825093,True
0.3,42.24753923918134,True
0.5,58.09680113905087,True
1.0,93.21875929351206,True
0.05,15.044530449195893,True
0.1,30.17059758352363,True
0.2,60.67430335507839,True
0.3,83.30297401227298,True
0.5,103.65259545577766,True
1.0,154.36916240214634,True
0.05,4.641214116471826,False
0.1,8.999591449780997,False
0.2,13.521503655019963,True
0.3,18.16888332968347,True
0.5,27.910924409846615,True
1.0,57.31257748454573,True
0.05,4.472170918205487,False
0.1,8.836223592599591,False
0.2,16.696499083765737,True
0.3,20.32509889256835,True
0.5,26.88058170329437,True
1.0,35.57612717510212,True
0.05,12.242716522078489,True
0.1,24.131790359686576,True
0.2,42.10240436114672,True
0.3,53.43676203339467,True
0.5,78.89648942934923,True
1.0,149.86781259983957,True
0.05,15.440618188678744,True
0.1,31.160463800008497,True
0.2,60.27216908514641,True
0.3,77.07915461517105,True
0.5,103.62163527440597,True
1.0,167.93244652050294,True
0.05,12.746552781236108,True
0.1,25.49310556247224,True
0.2,49.07020501880017,True
0.3,69.2871107802226,True
0.5,95.67197304787942,True
1.0,163.6970326390931,True
0.05,7.635319013815867,False
0.1,15.862229164846365,True
0.2,30.256540854099057,True
0.3,44.976781752737914,True
0.5,64.08097723354425,True
1.0,116.44644672376572,True
0.05,7.966394707486879,False
0.1,16.394375986558774,True
0.2,34.46088563257352,True
0.3,44.955034743996116,True
0.5,62.72188651675854,True
1.0,103.79403958739996,True
0.05,9.672396197435539,False
0.1,18.96512923171423,True
0.2,36.248096461371595,True
0.3,54.21704016777831,True
0.5,82.19195609536432,True
1.0,154.74561854346055,True
0.05,10.654497365327419,True
0.1,21.572989536221243,True
0.2,38.26553059885598,True
0.3,49.710429741466356,True
0.5,68.07915476082202,True
1.0,113.49495528410594,True
0.05,10.290205078080117,True
0.1,23.670669266456514,True
0.2,48.98339129324227,True
0.3,58.50760510006354,True
0.5,82.2500523145343,True
1.0,143.4428499543301,True
0.05,13.794282722351149,True
0.1,27.800298467564577,True
0.2,52.81051065348048,True
0.3,69.88509771995966,True
0.5,97.56317029551825,True
1.0,150.48537983918982,True
0.05,9.66408910932497,False
0.1,20.39215851067171,True
0.2,47.01241673865457,True
0.3,63.778552452388105,True
0.5,100.3136451655442,True
1.0,182.75044304997675,True
0.05,6.701339683171703,False
0.1,12.284183530600679,True
0.2,18.920587725970115,True
0.3,25.10878289020333,True
0.5,35.68468198954573,True
1.0,58.182143910384234,True
0.05,8.562711808750635,False
0.1,17.159641388801194,True
0.2,27.52292441417459,True
0.3,33.6489876092114,True
0.5,45.85754511185891,True
1.0,77.71420809927557,True
0.05,5.646342526780779,False
0.1,12.23329549505876,True
0.2,25.367629902743104,True
0.3,34.92739397750129,True
0.5,46.06877926366557,True
1.0,74.84824025357777,True
0.05,5.100236496357047,False
0.1,10.28001454243135,True
0.2,18.440613847934607,True
0.3,22.62480917773435,True
0.5,31.543727040880576,True
1.0,56.374281987657795,True
0.05,10.869664726509566,True
0.1,23.845403596375835,True
0.2,47.25040640451312,True
0.3,60.21218241558379,True
0.5,86.89792665959415,True
1.0,141.19269333169146,True
0.05,18.72579178330527,True
0.1,37.43583848288654,True
0.2,79.73394660514688,True
0.3,171.40759002113185,True
0.5,325.2067715897539,True
1.0,615.3760974461787,True
0.05,9.724435688166299,False
0.1,19.542496411440567,True
0.2,39.10669800385524,True
0.3,51.16020939438657,True
0.5,73.66820760490991,True
1.0,132.45219599709804,True
0.05,7.938868654880671,False
0.1,16.46444645366987,True
0.2,30.74051337072474,True
0.3,36.23949815879528,True
0.5,48.37893319082733,True
1.0,76.63552347360319,True
0.05,10.216716015530402,True
0.1,21.853056679209804,True
0.2,44.29390147204744,True
0.3,53.833483079854716,True
0.5,74.88633428439762,True
1.0,128.3291145258827,True
0.05,6.916060779877298,False
0.1,13.239118739153488,True
0.2,23.444203516191475,True
0.3,29.399724836640573,True
0.5,41.711420300187974,True
1.0,71.99076227945609,True
0.05,16.94477157989325,True
0.1,34.187487135694525,True
0.2,65.82138049235068,True
0.3,82.26337837810833,True
0.5,113.23113385072543,True
1.0,193.34023648340346,True
0.05,13.559498471546117,True
0.1,29.37687893672798,True
0.2,75.024068425579,True
0.3,118.26259809524959,True
0.5,199.71858508996783,True
1.0,358.2435120514939,True
0.05,9.063983434830991,False
0.1,17.728684318024946,True
0.2,27.490705569145966,True
0.3,35.578724463204935,True
0.5,51.6313216920137,True
1.0,94.2905947590585,True
0.05,4.104081571066098,False
0.1,8.544122811584609,False
0.2,18.190524165133183,True
0.3,26.29827214961726,True
0.5,35.55448036316595,True
1.0,60.141297524341894,True
0.05,11.350942750728986,True
0.1,23.449120749499606,True
0.2,47.07967658365489,True
0.3,58.788238838799046,True
0.5,78.37509560414746,True
1.0,115.4625517862208,True
0.05,5.241244474137008,False
0.1,10.482980185714542,True
0.2,20.218966856209896,True
0.3,26.567022873354972,True
0.5,37.001834995130054,True
1.0,62.901409092269134,True
0.05,7.9592756397347975,False
0.1,15.316463732880713,True
0.2,25.95295232824992,True
0.3,32.97216858954526,True
0.5,47.17080162235201,True
1.0,84.27856051525839,True
0.05,16.91453273546475,True
0.1,34.66998268421935,True
0.2,74.55525171664486,True
0.3,116.12200082816071,True
0.5,158.5636845119437,True
1.0,239.04234385002937,True
0.05,12.679486526259165,True
0.1,26.411308552060508,True
0.2,54.64130290419777,True
0.3,66.42770716429114,True
0.5,88.54798128026803,True
1.0,148.44910398473016,True
0.05,15.653277013682686,True
0.1,36.03096888404074,True
0.2,80.29731307961126,True
0.3,121.62268871611363,True
0.5,164.58344710166318,True
1.0,247.3103491713366,True
0.05,6.20198095075597,False
0.1,11.273160323136121,True
0.2,19.947836636488002,True
0.3,27.717763164191524,True
0.5,41.00461953550219,True
1.0,75.96112708014562,True
0.05,10.199704021726763,True
0.1,20.271818233562634,True
0.2,39.15417500121969,True
0.3,48.13888414564733,True
0.5,67.46897920020815,True
1.0,104.64970483485389,True
0.05,9.623753219883868,False
0.1,18.631373234475323,True
0.2,34.74577628535953,True
0.3,44.73480366861908,True
0.5,70.88312735593827,True
1.0,149.18995997443824,True
0.05,9.886407770860828,False
0.1,21.266801891014666,True
0.2,35.98562666036076,True
0.3,47.24730255961771,True
0.5,66.07449536887732,True
1.0,114.89957735222278,True
0.05,11.602272195089114,True
0.1,23.33689313936491,True
0.2,49.890588277044934,True
0.3,70.68912484494992,True
0.5,101.21093701795357,True
1.0,170.5965106133855,True
0.05,10.237416935903365,True
0.1,21.511601121454316,True
0.2,46.026858373493965,True
0.3,58.58645014287425,True
0.5,82.54050158143534,True
1.0,141.46360580658586,True
0.05,16.157898219745668,True
0.1,34.17637176497712,True
0.2,69.17153670836176,True
0.3,90.4456719661354,True
0.5,131.30227749311385,True
1.0,206.08366106644485,True
0.05,15.46395705415704,True
0.1,31.667083653199235,True
0.2,58.399552357831276,True
0.3,79.01751812374268,True
0.5,118.1406244095181,True
1.0,191.62952176380062,True
0.05,12.735418157766532,True
0.1,25.820270420334126,True
0.2,43.96087326914206,True
0.3,58.070328983577156,True
0.5,77.34220549578548,True
1.0,121.23543720601862,True
0.05,6.443489712266537,False
0.1,13.430602732842022,True
0.2,29.625327203625098,True
0.3,35.886567758986864,True
0.5,49.12280568071785,True
1.0,70.09570795329833,True
0.05,9.084568290298002,False
0.1,17.481888278461977,True
0.2,29.790469629174687,True
0.3,34.724655019134886,True
0.5,48.14449207530986,True
1.0,85.74304570300974,True
0.05,14.24322820427073,True
0.1,28.48646899487899,True
0.2,50.68110336366096,True
0.3,66.56014010104062,True
0.5,88.87141205995175,True
1.0,150.50982848220224,True
0.05,11.536879929039934,True
0.1,28.26698425724232,True
0.2,64.83652331846955,True
0.3,90.33941361395547,True
0.5,133.42871107302977,True
1.0,212.2287858948753,True
0.05,9.825243790467342,False
0.1,20.36937597853441,True
0.2,44.69578876737366,True
0.3,70.76757869901489,True
0.5,119.77532250240661,True
1.0,249.6490956491255,True
0.05,17.436017058493803,True
0.1,37.1402753187436,True
0.2,76.52433028912273,True
0.3,114.2522264007595,True
0.5,157.75710927789825,True
1.0,237.5246254265183,True
0.05,7.324171129186108,False
0.1,14.943504561698418,True
0.2,30.558790567488202,True
0.3,35.62922839734763,True
0.5,45.03461787231815,True
1.0,70.29323306243951,True
0.05,12.609006173741278,True
0.1,26.44197283232852,True
0.2,72.30767631437986,True
0.3,123.13204248502797,True
0.5,198.7880674681533,True
1.0,330.6458746309771,True
0.05,8.787490059015468,False
0.1,18.921840562770775,True
0.2,38.46768289190352,True
0.3,51.379072353732134,True
0.5,68.99802248368563,True
1.0,110.86518654457143,True
0.05,12.536149064540925,True
0.1,25.064286146360494,True
0.2,45.60298382260508,True
0.3,58.58221556159391,True
0.5,80.82019468316814,True
1.0,129.81615303848434,True
0.05,8.014537749947293,False
0.1,16.007245601683916,True
0.2,30.920668963859722,True
0.3,39.09431545422524,True
0.5,56.902477307423595,True
1.0,105.36646256289943,True
0.05,9.741889224577193,False
0.1,18.984414405488593,True
0.2,27.812192798027734,True
0.3,35.398046903146785,True
0.5,51.91665079724541,True
1.0,91.86939316190927,True
0.05,16.855783072560794,True
0.1,34.36200252260393,True
0.2,62.79205855124259,True
0.3,82.71509837215434,True
0.5,115.82313561711058,True
1.0,172.42459049948113,True
0.05,9.48074993755663,False
0.1,19.0532812586212,True
0.2,42.17915227700297,True
0.3,71.1626452735554,True
0.5,94.11907373776867,True
1.0,159.03997978080446,True
0.05,6.541528324286183,False
0.1,13.721204201502267,True
0.2,24.92689998139561,True
0.3,29.932835819316004,True
0.5,42.745779565266815,True
1.0,84.67387602702483,True
0.05,7.829796610488438,False
0.1,14.567322677992767,True
0.2,25.483328178763507,True
0.3,31.903635747240134,True
0.5,46.011212782766606,True
1.0,81.87120596598712,True
0.05,8.508804381053793,False
0.1,19.04351261840562,True
0.2,38.392924738900966,True
0.3,51.117044720256445,True
0.5,71.3025344029517,True
1.0,117.40707305125646,True
0.05,15.008400598404425,True
0.1,31.549393992950737,True
0.2,66.06439378809989,True
0.3,85.98789442999441,True
0.5,115.9483316485281,True
1.0,195.3225269233136,True
0.05,5.198159482571518,False
0.1,10.26712720943741,True
0.2,22.324077002420537,True
0.3,28.939004954762204,True
0.5,40.53657470280729,True
1.0,74.90452729253354,True
0.05,10.63137257426594,True
0.1,20.647497000668146,True
0.2,41.380088115288395,True
0.3,53.99399719771127,True
0.5,76.5689299110524,True
1.0,124.2624908548544,True
0.05,12.055994844364637,True
0.1,29.89671445674262,True
0.2,70.17852288863442,True
0.3,100.41515335377204,True
0.5,146.62320520518713,True
1.0,226.28542938419415,True
0.05,6.152514130921882,False
0.1,12.305028261843741,True
0.2,24.67075903512095,True
0.3,33.138368536390296,True
0.5,49.35337152666497,True
1.0,88.57132019696985,True
0.05,8.116145166767907,False
0.1,16.0714720875349,True
0.2,29.37252367121872,True
0.3,35.311020413806695,True
0.5,48.200745415470166,True
1.0,83.19771657101971,True
0.05,8.045067602127531,False
0.1,16.237600464653724,True
0.2,32.868279509530815,True
0.3,44.28911262254409,True
0.5,60.3529749830582,True
1.0,99.543251940636,True
0.05,10.88915245353772,True
0.1,22.492496062290112,True
0.2,44.79560381370242,True
0.3,58.61185932852253,True
0.5,86.2111801242236,True
1.0,156.63847905786744,True
0.05,11.766828447513333,True
0.1,23.548368300288104,True
0.2,45.83026888619117,True
0.3,58.535641750824,True
0.5,77.36624048545784,True
1.0,121.65605331602691,True
0.05,9.06746240590155,False
0.1,18.78782279057156,True
0.2,31.80020143281359,True
0.3,38.55426414682284,True
0.5,55.12875399604222,True
1.0,100.41578000617895,True
0.05,5.223960193690513,False
0.1,10.447920387381027,True
0.2,18.76913810087173,True
0.3,23.001130940443005,True
0.5,32.038176594624005,True
1.0,56.79125101571725,True
0.05,13.377557538751716,True
0.1,27.57157872705598,True
0.2,49.82964789535498,True
0.3,63.89737596072636,True
0.5,88.25917515720592,True
1.0,144.30584774364812,True
0.05,12.64491337565432,True
0.1,25.35881130710431,True
0.2,50.48731165414131,True
0.3,64.55176449244502,True
0.5,83.43784715027942,True
1.0,131.0364456321762,True
0.05,14.8389705518724,True
0.1,33.06582709242145,True
0.2,61.59458986601416,True
0.3,79.35728962471691,True
0.5,113.56070047820323,True
1.0,177.39717023251612,True
0.05,7.411774517064296,False
0.1,14.823549034128568,True
0.2,27.57673082783103,True
0.3,33.629506939854004,True
0.5,44.295051674252136,True
1.0,76.63178769211821,True
0.05,17.4342488808932,True
0.1,35.375729786352196,True
0.2,67.21089391424178,True
0.3,87.2094574279246,True
0.5,124.64219209055712,True
1.0,194.43672479875977,True
0.05,14.939616271553625,True
0.1,29.01677859520424,True
0.2,55.40857223608009,True
0.3,78.07930252780923,True
0.5,101.87656956478727,True
1.0,153.3707598406812,True
0.05,13.997982260985008,True
0.1,29.532556132370136,True
0.2,64.24249195847054,True
0.3,84.81134558456027,True
0.5,113.7110355147759,True
1.0,162.01951357373127,True
0.05,6.037422740231246,False
0.1,13.129351415074343,True
0.2,24.712105429204414,True
0.3,29.998094549223953,True
0.5,39.336498824841605,True
1.0,62.38435407109797,True
0.05,6.98263773944463,False
0.1,16.046710917674112,True
0.2,32.66323087624472,True
0.3,42.7966754214367,True
0.5,59.003230787140936,True
1.0,100.90940101140546,True
0.05,6.079968698486349,False
0.1,12.976368327983812,True
0.2,27.83037373779369,True
0.3,36.177644531552545,True
0.5,54.90764977168594,True
1.0,107.2058059749339,True
0.05,12.108466341226443,True
0.1,24.598946966626876,True
0.2,47.11555978570021,True
0.3,58.453096205634594,True
0.5,87.66313837902014,True
1.0,176.77433706734482,True
0.05,13.379013829907404,True
0.1,26.6763198795279,True
0.2,49.010236352250324,True
0.3,65.39843502753087,True
0.5,90.6553486212492,True
1.0,146.20958650436046,True
0.05,11.248268301966702,True
0.1,22.87316237876713,True
0.2,44.95480815456618,True
0.3,57.883659232062826,True
0.5,78.10518891816285,True
1.0,122.95932313969632,True
0.05,12.297574017330959,True
0.1,27.44298172396129,True
0.2,59.12115225317214,True
0.3,74.98529312191621,True
0.5,104.2802481763999,True
1.0,170.24997244109747,True
0.05,9.193867311497517,False
0.1,18.35636809000345,True
0.2,30.591529717674646,True
0.3,39.993136357147144,True
0.5,58.10344245731795,True
1.0,101.85993308144998,True
0.05,10.439859435288268,True
0.1,22.12702010864007,True
0.2,58.48811017474325,True
0.3,104.87444653686073,True
0.5,162.91721297553167,True
1.0,263.8124637561768,True
0.05,17.762737325965873,True
0.1,36.394618301505524,True
0.2,76.636337581989,True
0.3,151.03953297538598,True
0.5,258.4609284260573,True
1.0,543.4754050875756,True
0.05,7.001036243900716,False
0.1,14.41289836435966,True
0.2,32.83000471515256,True
0.3,43.171692787143144,True
0.5,66.09129013846156,True
1.0,123.25855297996813,True
0.05,11.46187777337726,True
0.1,29.954015195526786,True
0.2,73.53855699662941,True
0.3,130.37863484050928,True
0.5,202.24615131164785,True
1.0,311.0034044954646,True
0.05,7.286549381009921,False
0.1,14.072711294009,True
0.2,21.346100833838165,True
0.3,27.19169499556393,True
0.5,38.49230214907862,True
1.0,61.78403993417601,True
0.05,13.982326833467384,True
0.1,25.82807051838383,True
0.2,43.09791485367942,True
0.3,60.397975970240125,True
0.5,93.2045332237396,True
1.0,139.67300873648873,True
0.05,11.595332760567988,True
0.1,17.17803627522876,True
0.2,29.182150878621236,True
0.3,40.240147495869635,True
0.5,59.997224103708135,True
1.0,118.68002343549091,True
0.05,14.49401395981127,True
0.1,30.692761606261044,True
0.2,62.86951907089677,True
0.3,91.44322868148222,True
0.5,120.75511965329983,True
1.0,183.05555469012066,True
